기준일,시장전망지표,전월대비  등락가,전월대비 등락율
2018-05,6.61,1.15,21.05
2018-06,8.33,1.72,26.04
2018-07,15.05,6.72,80.63
2018-08,23.73,8.68,57.71
2018-09,34.59,10.86,45.77
2018-10,40.53,5.94,17.17
2018-11,45.00,4.47,11.03
2018-12,44.02,-0.98,-2.17
2019-01,44.68,0.66,1.50
2019-02,50.29,5.61,12.56
2019-03,50.57,0.28,0.56
2019-04,52.10,1.53,3.02
2019-05,52.94,0.84,1.61
2019-06,52.14,-0.80,-1.51
2019-07,52.61,0.47,0.91
2019-08,55.59,2.98,5.67
2019-09,60.91,5.32,9.57
2019-10,66.17,5.26,8.63
2019-11,66.62,0.45,0.68
2019-12,67.97,1.35,2.03
2020-01,71.77,3.80,5.59
2020-02,73.44,1.67,2.33
2020-03,73.59,0.15,0.20
2020-04,73.01,-0.58,-0.78
2020-05,73.92,0.90,1.24
2020-06,75.24,1.33,1.80
2020-07,76.45,1.20,1.60
2020-08,76.11,-0.33,-0.43
2020-09,75.68,-0.44,-0.57
2020-10,76.04,0.37,0.48
2020-11,75.36,-0.68,-0.90
2020-12,73.16,-2.20,-2.92
2021-01,67.99,-5.17,-7.07
2021-02,53.82,-14.17,-20.84
2021-03,43.36,-10.46,-19.44
2021-04,35.21,-8.15,-18.79
2021-05,34.09,-1.12,-3.19
2021-06,35.06,0.97,2.86
2021-07,43.64,8.58,24.47
2021-08,43.92,0.28,0.63
2021-09,32.16,-11.76,-26.77
2021-10,10.37,-21.79,-67.76
2021-11,4.54,-5.83,-56.20
2021-12,12.14,7.60,167.34
2022-01,6.26,-5.89,-48.48
2022-02,2.09,-4.16,-66.55
2022-03,1.62,-0.48,-22.80
2022-04,2.16,0.54,33.62
2022-05,2.96,0.80,37.21
2022-06,3.40,0.44,14.93
2022-07,8.86,5.46,160.48
2022-08,9.08,0.22,2.47
2022-09,8.97,-0.12,-1.27
2022-10,16.44,7.48,83.36
2022-11,13.31,-3.13,-19.05
2022-12,10.73,-2.58,-19.38
2023-01,14.88,4.15,38.68
2023-02,21.86,6.97,46.85
2023-03,28.39,6.54,29.92
2023-04,49.88,21.48,75.65
2023-05,67.31,17.44,34.96
2023-06,47.55,-19.76,-29.36
2023-07,30.24,-17.31,-36.41
2023-08,32.37,2.14,7.07
2023-09,48.69,16.32,50.40
2023-10,62.54,13.85,28.45
2023-11,66.94,4.40,7.04
2023-12,71.67,4.73,7.07
2024-01,77.84,6.16,8.60
2024-02,79.88,2.05,2.63
2024-03,79.73,-0.15,-0.19
2024-04,76.95,-2.78,-3.48
2024-05,74.94,-2.02,-2.62
